"to","from","est","se","z","p","std"
"Liver_Disease","Alcohol_Purchase",0.15249298146044,0.884273220060356,0.172450073123363,0.863083709117144,0.0169116699959896
"Liver_Disease","Native_American",97.1279120057848,13.2245483455503,7.3445163848235,2.06501482580279e-13,0.720255057772576
"Alcohol_Purchase","Native_American",-2.82046875535746,1.8627772484324,-1.51412025121683,0.129995343273222,-0.188593585445232
"Alcohol_Purchase","Sales_Tax",-0.161878874884366,0.0338964120556316,-4.77569350463071,1.79088984975095e-06,-0.595309803506914
"Alcohol_Purchase","Excise_Tax",-0.0206312539904956,0.00915024142931795,-2.25472236441672,0.0241507609737965,-0.256858452356278
"Auto_Fatalities_per_100k","Speed_Limit",0.35775699416515,0.13258307450646,2.6983609747843,0.00696818363828289,0.393209770623156
"Auto_Fatalities_per_100k","Native_American",0.565610814773959,16.0435864311391,0.0352546369355521,0.971876695306054,0.00451469905836425
"Auto_Fatalities_per_100k","Vehicles",3.43490216063029,2.75827021627479,1.24531024566162,0.213017730967404,0.18224412997216
"ARAF_per_100k","Alcohol_Purchase",0.259433416213729,0.198046582440217,1.30996159094057,0.190208829453355,0.102992126206968
"ARAF_per_100k","Auto_Fatalities_per_100k",0.241922576503709,0.0238242439160048,10.1544702680445,0,0.804542575134731
"ARAF_per_100k","Native_American",3.56027445098808,3.00369165158411,1.18529957930616,0.235899019779907,0.0945077037719354
